loan_id,LoanType
2,Mortgage
3,Personal
5,Auto
6,Auto
7,Personal
8,Personal
9,Personal
10,Personal
11,Personal
12,Mortgage
13,Mortgage
14,Auto
16,Mortgage
17,Auto
19,Mortgage
21,Personal
22,Mortgage
23,Auto
24,Auto
25,Mortgage
28,Mortgage
30,Personal
31,Auto
32,Mortgage
33,Auto
119,Auto
34,Personal
35,Mortgage
37,Mortgage
38,Personal
41,Personal
42,Mortgage
43,Auto
45,Mortgage
46,Auto
47,Auto
48,Personal
50,Personal
51,Auto
52,Auto
53,Mortgage
54,Auto
55,Personal
56,Auto
57,Personal
58,Mortgage
59,Auto
60,Mortgage
61,Auto
62,Auto
63,Auto
64,Mortgage
65,Mortgage
66,Personal
67,Auto
69,Personal
70,Mortgage
71,Personal
72,Mortgage
74,Mortgage
75,Auto
77,Personal
78,Personal
79,Mortgage
81,Mortgage
82,Personal
83,Mortgage
84,Mortgage
86,Personal
87,Mortgage
111,Auto
88,Personal
89,Mortgage
90,Mortgage
91,Personal
92,Personal
94,Auto
96,Auto
97,Auto
99,Auto
100,Mortgage
101,Personal
104,Personal
106,Personal
108,Mortgage
109,Personal
110,Personal
112,Mortgage
113,Personal
114,Auto
115,Auto
116,Personal
117,Mortgage
118,Mortgage
120,Mortgage
121,Mortgage
122,Personal
123,Auto
125,Mortgage
126,Personal
127,Personal
128,Auto
130,Personal
