transaction_id,TransactionType,Amount,TransactionDate_ID
1,withdrawal,102.15,1212
976,withdrawal,438.42,1212
2,withdrawal,358.8,165
4,deposit,463.13,246
5,withdrawal,21.94,915
8,withdrawal,256.62,873
9,deposit,272.21,1243
10,withdrawal,498.95,539
363,withdrawal,22.8,539
11,withdrawal,369.25,1033
12,withdrawal,295.89,641
13,deposit,344.01,1160
916,deposit,75.34,1160
14,withdrawal,268.86,1296
15,deposit,452.34,61
16,withdrawal,416.56,1188
18,withdrawal,355.49,851
163,deposit,21.89,851
19,withdrawal,56.89,465
20,withdrawal,40.97,842
21,deposit,150.47,64
702,withdrawal,42.19,64
22,deposit,68.11,867
381,deposit,393.97,867
23,withdrawal,125.53,391
985,withdrawal,488.42,391
24,withdrawal,168.54,258
25,withdrawal,236.09,315
26,deposit,297.99,1217
60,withdrawal,299.22,1217
27,deposit,147.5,18
29,withdrawal,351.38,870
30,deposit,403.71,1414
722,withdrawal,54.73,1414
31,deposit,358.37,973
32,deposit,140.67,1043
194,withdrawal,181.16,1043
33,deposit,268.39,1138
34,deposit,93.16,259
35,withdrawal,384.83,1483
37,deposit,30.0,1151
38,deposit,494.22,1006
39,withdrawal,465.1,537
41,withdrawal,105.12,1064
42,withdrawal,412.17,1052
43,withdrawal,328.65,321
44,deposit,448.75,670
850,withdrawal,182.03,670
45,withdrawal,36.85,644
95,withdrawal,308.31,644
46,deposit,430.92,1351
100,withdrawal,41.78,1351
47,withdrawal,167.84,62
48,withdrawal,387.49,1158
50,deposit,227.4,1446
51,withdrawal,370.16,320
378,deposit,330.62,320
53,withdrawal,50.99,529
874,deposit,343.63,529
54,withdrawal,426.91,819
697,withdrawal,44.05,819
55,withdrawal,86.29,1091
302,withdrawal,229.83,1091
56,withdrawal,193.12,1121
517,deposit,447.89,1121
57,deposit,271.18,407
58,withdrawal,337.93,296
231,deposit,432.29,296
59,withdrawal,46.76,1484
62,deposit,309.22,1166
63,withdrawal,381.28,328
64,withdrawal,356.54,502
579,withdrawal,30.08,502
65,withdrawal,309.74,773
67,deposit,298.4,959
68,withdrawal,132.43,710
69,deposit,490.26,1269
70,withdrawal,136.12,613
493,withdrawal,330.1,613
71,deposit,67.63,72
72,withdrawal,333.17,1186
74,withdrawal,381.9,1466
456,withdrawal,53.41,1466
736,deposit,285.31,1466
75,withdrawal,363.18,777
683,deposit,468.99,777
76,deposit,364.14,1001
77,withdrawal,287.91,133
78,deposit,57.33,989
80,withdrawal,54.48,84
521,withdrawal,84.98,84
82,withdrawal,61.79,1300
83,withdrawal,192.54,314
227,withdrawal,476.38,314
953,withdrawal,112.51,314
84,withdrawal,418.3,1348
85,withdrawal,112.4,4
86,deposit,259.17,1137
87,deposit,188.5,1139
90,withdrawal,257.1,997
867,withdrawal,97.69,997
91,deposit,26.44,272
93,withdrawal,53.02,1413
108,withdrawal,157.92,1413
842,deposit,151.04,1413
96,deposit,278.13,318
586,deposit,397.94,318
97,withdrawal,274.08,911
98,withdrawal,296.84,865
101,deposit,427.57,91
707,deposit,304.73,91
779,deposit,264.39,91
102,deposit,468.81,1088
174,deposit,405.6,1088
103,deposit,330.91,1494
132,deposit,83.27,1494
106,deposit,132.69,663
971,withdrawal,50.48,663
107,withdrawal,70.81,1350
965,deposit,276.04,1350
109,withdrawal,276.47,903
110,withdrawal,284.4,504
762,withdrawal,246.77,504
111,withdrawal,346.07,878
488,deposit,221.66,878
703,withdrawal,149.9,878
112,withdrawal,428.25,863
885,withdrawal,29.94,863
113,withdrawal,424.12,129
785,withdrawal,264.32,129
951,deposit,137.52,129
116,withdrawal,466.19,885
117,withdrawal,446.0,183
118,deposit,358.7,1100
119,withdrawal,119.2,632
120,withdrawal,486.72,444
121,deposit,197.43,156
134,withdrawal,23.42,156
995,withdrawal,31.22,156
122,deposit,252.67,607
123,withdrawal,75.93,1431
124,withdrawal,403.69,757
125,withdrawal,422.41,990
126,withdrawal,29.89,532
286,withdrawal,480.48,532
127,withdrawal,117.45,1447
129,deposit,112.77,647
952,withdrawal,280.95,647
130,deposit,67.73,448
131,withdrawal,274.29,1487
133,withdrawal,91.19,1326
137,deposit,179.2,783
139,deposit,209.07,560
141,deposit,98.53,1221
142,deposit,443.67,30
263,deposit,170.94,30
402,withdrawal,75.9,30
143,deposit,168.12,723
322,deposit,239.03,723
144,deposit,102.23,266
145,deposit,240.81,265
146,deposit,105.76,1482
147,deposit,142.73,503
148,deposit,346.25,594
149,withdrawal,125.33,1454
150,withdrawal,333.96,244
151,deposit,68.9,1122
152,withdrawal,245.42,605
154,withdrawal,408.34,1323
818,deposit,494.63,1323
155,deposit,144.21,1287
283,deposit,345.01,1287
157,withdrawal,390.13,1049
158,deposit,90.2,1373
159,withdrawal,28.16,1174
162,deposit,25.87,96
737,deposit,499.43,96
830,withdrawal,205.97,96
164,withdrawal,456.83,1408
839,withdrawal,347.3,1408
165,withdrawal,343.52,1071
166,withdrawal,446.81,1114
167,withdrawal,28.79,488
185,withdrawal,269.28,488
168,deposit,184.23,76
169,withdrawal,479.09,2
170,withdrawal,352.98,631
171,deposit,287.92,47
172,withdrawal,259.8,112
173,withdrawal,259.35,1220
175,deposit,286.83,996
176,deposit,322.43,1392
218,deposit,204.48,1392
177,withdrawal,78.28,1057
656,deposit,198.72,1057
178,withdrawal,408.78,755
179,deposit,361.88,1299
180,withdrawal,373.98,929
181,withdrawal,410.85,1365
183,deposit,226.41,342
332,withdrawal,184.27,342
468,withdrawal,447.32,342
184,deposit,103.48,709
186,deposit,258.17,846
597,deposit,306.87,846
187,deposit,181.72,890
220,deposit,477.79,890
188,withdrawal,224.65,610
