account_id,AccountType,Balance,OpeningDate_ID
3,Savings,2391.9,261
4,Credit,7880.53,1322
6,Savings,947.43,857
7,Savings,4492.62,244
173,Checking,5688.51,244
8,Credit,8439.15,310
9,Checking,9232.35,895
11,Checking,3721.97,1029
12,Checking,4532.51,982
13,Checking,2448.6,1039
14,Savings,9772.03,212
15,Savings,4846.99,602
16,Credit,1496.1,533
17,Savings,8268.0,375
18,Savings,4315.64,1195
19,Checking,7676.38,512
21,Checking,5164.29,978
22,Credit,8539.34,1180
24,Credit,444.6,671
67,Savings,5901.01,671
25,Savings,8330.83,1484
26,Savings,8648.97,887
27,Savings,7446.25,1398
28,Checking,9529.29,1223
29,Savings,5051.48,867
30,Checking,4880.23,274
31,Savings,8380.64,694
33,Checking,4000.76,1356
93,Checking,7800.33,1356
35,Credit,3099.1,756
36,Checking,4765.84,781
37,Checking,6400.46,447
38,Checking,3099.96,1221
39,Credit,6681.52,679
41,Savings,1443.64,151
42,Checking,4797.54,818
45,Checking,2161.94,676
189,Savings,5933.37,676
46,Checking,2511.55,1150
47,Checking,9461.84,497
48,Savings,2813.49,1370
49,Credit,9382.52,960
50,Checking,408.18,334
52,Savings,5779.42,226
153,Checking,5674.38,226
53,Credit,5981.73,160
55,Checking,5108.1,1262
56,Credit,8471.16,614
61,Savings,9573.53,614
57,Savings,9139.78,1099
58,Checking,485.78,339
60,Savings,3999.07,285
62,Checking,8922.24,1200
63,Credit,6050.42,253
64,Savings,3935.69,1215
66,Checking,9829.08,880
69,Credit,2371.32,1283
70,Credit,6992.14,798
71,Checking,660.41,1482
73,Checking,8090.41,433
74,Credit,477.03,83
76,Savings,9418.14,392
77,Credit,1327.94,1333
78,Checking,2442.05,439
79,Checking,439.38,133
81,Checking,9925.68,125
82,Savings,6248.9,1193
85,Checking,4723.64,1359
114,Checking,5816.22,1359
152,Checking,1958.76,1359
86,Savings,479.11,117
87,Credit,3020.06,327
89,Savings,4556.78,509
90,Savings,723.3,366
91,Credit,5498.05,1176
92,Savings,3181.09,893
95,Credit,8536.16,691
96,Credit,6177.48,1446
97,Checking,7244.31,466
98,Savings,7858.64,169
99,Credit,7306.58,579
100,Checking,2767.61,305
101,Savings,1388.48,136
102,Credit,369.92,948
104,Checking,6792.0,799
106,Savings,5071.66,578
107,Savings,1377.35,879
108,Credit,856.98,587
109,Credit,8482.27,858
110,Credit,2586.78,1161
111,Savings,4200.08,1249
112,Credit,2355.97,1276
113,Checking,1547.22,540
115,Checking,4653.15,962
117,Savings,9716.41,989
118,Checking,7423.6,309
119,Checking,5592.4,170
120,Savings,4650.84,743
121,Checking,9224.91,428
122,Credit,6517.51,973
123,Savings,3346.13,1116
124,Savings,618.8,889
126,Credit,4750.66,983
127,Credit,3471.36,1471
129,Credit,6510.08,821
130,Credit,4382.28,507
131,Credit,8875.18,113
132,Checking,5238.53,163
133,Savings,1308.27,958
135,Credit,5566.77,789
136,Credit,2920.52,1439
138,Checking,7104.71,1206
139,Credit,8339.92,1018
140,Checking,9213.84,1171
142,Checking,6560.6,883
143,Credit,646.6,264
144,Checking,4814.99,1402
145,Credit,4250.13,263
146,Checking,9908.2,931
147,Savings,2470.66,280
148,Checking,6389.31,484
149,Checking,2099.71,681
150,Credit,1432.24,1147
151,Savings,3485.52,772
154,Checking,5272.84,813
156,Checking,6267.88,1
157,Savings,8124.79,414
159,Checking,7987.97,243
160,Credit,7658.87,700
161,Credit,7481.3,372
164,Savings,2344.76,383
165,Checking,6463.29,1376
166,Credit,4772.63,876
168,Checking,7988.05,301
169,Checking,8090.98,73
170,Checking,8915.18,899
171,Savings,6495.7,1136
172,Checking,5627.79,425
174,Savings,4797.86,499
175,Checking,1099.34,39
176,Credit,5388.75,222
177,Checking,4690.68,1384
178,Checking,9847.69,1035
180,Savings,2901.49,1103
181,Credit,2299.16,1429
182,Credit,4170.83,330
184,Savings,4678.03,219
185,Credit,2531.32,792
186,Savings,868.01,1097
187,Credit,569.99,890
190,Checking,4796.91,1415
191,Savings,3081.66,689
192,Checking,3158.88,1378
193,Credit,6047.23,580
194,Credit,7251.0,1053
196,Checking,1782.43,359
197,Credit,6893.38,478
198,Savings,4040.05,1332
