transaction_id,account_id,OpeningDate_ID,TransactionDate_ID,Amount
4,4,1322,246,463.13
4,4,1322,246,463.13
334,4,1322,931,356.6
334,4,1322,931,356.6
813,4,1322,496,87.79
813,4,1322,496,87.79
8,8,310,873,256.62
200,8,310,832,176.63
277,8,310,1083,392.1
390,8,310,167,460.77
485,8,310,524,186.9
612,8,310,1108,81.21
703,8,310,878,149.9
9,9,895,1243,272.21
829,9,895,85,406.52
11,11,1029,1033,369.25
11,11,1029,1033,369.25
11,11,1029,1033,369.25
544,11,1029,238,257.96
544,11,1029,238,257.96
544,11,1029,238,257.96
629,11,1029,691,128.35
629,11,1029,691,128.35
629,11,1029,691,128.35
960,11,1029,571,40.51
960,11,1029,571,40.51
960,11,1029,571,40.51
12,12,982,641,295.89
237,12,982,11,266.18
814,12,982,597,211.13
956,12,982,1267,464.51
13,13,1039,1160,344.01
13,13,1039,1160,344.01
13,13,1039,1160,344.01
260,13,1039,1271,365.0
260,13,1039,1271,365.0
260,13,1039,1271,365.0
569,13,1039,1141,429.33
569,13,1039,1141,429.33
569,13,1039,1141,429.33
15,14,212,61,452.34
377,14,212,1275,416.18
540,14,212,37,218.65
595,14,212,754,336.35
657,14,212,153,245.28
699,14,212,796,372.74
16,15,602,1188,416.56
606,15,602,622,149.04
614,15,602,278,296.87
648,15,602,213,384.3
18,17,375,851,355.49
430,17,375,1440,252.03
440,17,375,1027,345.24
483,17,375,832,337.16
740,17,375,558,438.4
809,17,375,415,71.1
19,18,1195,465,56.89
183,18,1195,342,226.41
230,18,1195,843,352.55
383,18,1195,347,84.42
677,18,1195,1,160.37
20,19,512,842,40.97
173,19,512,1220,259.35
294,19,512,1315,155.91
376,19,512,381,326.82
426,19,512,1294,294.51
515,19,512,780,447.2
874,19,512,529,343.63
22,21,978,867,68.11
181,21,978,1365,410.85
367,21,978,764,263.58
536,21,978,869,350.94
971,21,978,663,50.48
985,21,978,391,488.42
23,22,1180,391,125.53
98,22,1180,865,296.84
710,22,1180,1092,50.37
769,22,1180,39,175.05
819,22,1180,1283,21.32
25,24,671,315,236.09
25,24,671,315,236.09
25,24,671,315,236.09
25,24,671,315,236.09
217,24,671,168,421.38
217,24,671,168,421.38
217,24,671,168,421.38
217,24,671,168,421.38
323,24,671,173,316.0
323,24,671,173,316.0
323,24,671,173,316.0
323,24,671,173,316.0
391,24,671,385,288.83
391,24,671,385,288.83
391,24,671,385,288.83
391,24,671,385,288.83
26,25,1484,1217,297.99
26,25,1484,1217,297.99
26,25,1484,1217,297.99
48,25,1484,1158,387.49
48,25,1484,1158,387.49
48,25,1484,1158,387.49
269,25,1484,1452,151.28
269,25,1484,1452,151.28
269,25,1484,1452,151.28
683,25,1484,777,468.99
683,25,1484,777,468.99
683,25,1484,777,468.99
963,25,1484,454,137.05
963,25,1484,454,137.05
963,25,1484,454,137.05
27,26,887,18,147.5
27,26,887,18,147.5
324,26,887,15,397.33
324,26,887,15,397.33
558,26,887,816,109.41
558,26,887,816,109.41
716,26,887,102,375.37
716,26,887,102,375.37
822,26,887,1129,48.55
822,26,887,1129,48.55
915,26,887,1343,480.59
915,26,887,1343,480.59
29,28,1223,870,351.38
149,28,1223,1454,125.33
636,28,1223,1192,217.2
30,29,867,1414,403.71
669,29,867,251,69.98
31,30,274,973,358.37
381,30,274,867,393.97
697,30,274,819,44.05
976,30,274,1212,438.42
32,31,694,1043,140.67
32,31,694,1043,140.67
116,31,694,885,466.19
116,31,694,885,466.19
158,31,694,1373,90.2
158,31,694,1373,90.2
680,31,694,588,267.72
680,31,694,588,267.72
853,31,694,1214,375.89
853,31,694,1214,375.89
34,33,1356,259,93.16
34,33,1356,259,93.16
34,33,1356,259,93.16
213,33,1356,469,217.1
213,33,1356,469,217.1
213,33,1356,469,217.1
396,33,1356,372,251.96
396,33,1356,372,251.96
396,33,1356,372,251.96
473,33,1356,137,338.91
473,33,1356,137,338.91
473,33,1356,137,338.91
690,33,1356,394,214.98
690,33,1356,394,214.98
690,33,1356,394,214.98
691,33,1356,1093,381.46
691,33,1356,1093,381.46
691,33,1356,1093,381.46
877,33,1356,124,461.68
877,33,1356,124,461.68
877,33,1356,124,461.68
941,33,1356,1422,266.13
941,33,1356,1422,266.13
941,33,1356,1422,266.13
37,36,781,1151,30.0
37,36,781,1151,30.0
250,36,781,1054,85.33
250,36,781,1054,85.33
332,36,781,342,184.27
332,36,781,342,184.27
385,36,781,1458,334.48
385,36,781,1458,334.48
468,36,781,342,447.32
468,36,781,342,447.32
799,36,781,1185,138.12
799,36,781,1185,138.12
882,36,781,181,498.69
882,36,781,181,498.69
957,36,781,1382,51.63
957,36,781,1382,51.63
38,37,447,1006,494.22
457,37,447,103,268.05
575,37,447,1367,280.85
577,37,447,1298,60.08
646,37,447,527,188.36
708,37,447,1165,469.8
739,37,447,938,328.19
39,38,1221,537,465.1
469,38,1221,106,29.91
940,38,1221,737,62.5
41,39,679,1064,105.12
