customer_id,account_id,transaction_id,loan_id
1,1,1,1
2,2,2,2
2,2,2,3
2,2,2,4
2,2,2,5
3,3,3,6
3,3,3,7
3,3,3,8
4,4,4,9
4,4,4,10
5,5,5,11
6,6,6,12
7,7,7,13
8,8,8,1
9,9,9,1
10,10,10,1
11,11,11,14
11,11,11,15
11,11,11,16
12,12,12,17
13,13,13,18
13,13,13,19
13,13,13,20
5,5,14,11
14,14,15,1
15,15,16,21
16,16,17,22
16,16,17,23
16,16,17,24
17,17,18,25
17,18,19,25
10,19,20,1
18,20,21,26
19,21,22,27
8,22,23,1
20,23,24,28
20,23,24,29
20,23,24,30
2,24,25,2
2,24,25,3
2,24,25,4
2,24,25,5
21,25,26,31
21,25,26,32
21,25,26,33
22,26,27,34
22,26,27,35
23,27,28,1
24,28,29,1
25,29,30,1
5,30,31,11
26,31,32,36
26,31,32,37
4,32,33,9
4,32,33,10
27,33,34,38
27,33,34,39
27,33,34,40
28,34,35,41
29,35,36,42
30,36,37,43
30,36,37,44
28,37,38,41
31,38,39,1
16,16,40,22
16,16,40,23
16,16,40,24
32,39,41,45
32,39,41,46
18,40,42,26
33,41,43,47
33,41,43,48
33,41,43,49
34,42,44,50
35,43,45,51
19,44,46,27
3,45,47,6
3,45,47,7
3,45,47,8
21,25,48,31
21,25,48,32
21,25,48,33
21,25,49,31
21,25,49,32
21,25,49,33
6,46,50,12
2,2,51,2
2,2,51,3
2,2,51,4
2,2,51,5
36,47,52,1
37,48,53,1
12,49,54,17
38,50,55,52
18,51,56,26
39,52,57,53
31,53,58,1
40,54,59,54
41,55,60,55
24,56,61,1
12,57,62,17
36,58,63,1
9,59,64,1
28,34,65,41
42,60,66,1
6,61,67,12
25,62,68,1
43,63,69,56
32,39,70,45
32,39,70,46
44,64,71,1
45,65,72,57
45,65,72,58
46,66,73,59
46,66,73,60
17,67,74,25
5,68,75,11
36,69,76,1
32,39,77,45
32,39,77,46
47,70,78,61
48,71,79,62
48,71,79,63
48,71,79,64
15,72,80,21
46,73,81,59
46,73,81,60
22,74,82,34
22,74,82,35
39,75,83,53
3,45,84,6
3,45,84,7
3,45,84,8
17,67,85,25
24,56,86,1
6,76,87,12
49,77,88,1
50,78,89,65
50,78,89,66
51,79,90,67
51,79,90,68
51,79,90,69
51,79,90,70
51,79,90,71
23,80,91,1
40,54,92,54
52,81,93,1
53,82,94,72
53,82,94,73
53,82,94,74
29,35,95,42
1,1,96,1
18,51,97,26
8,22,98,1
31,53,99,1
54,83,100,1
55,84,101,75
54,85,102,1
56,86,103,1
57,87,104,76
57,87,104,77
57,87,104,78
22,26,105,34
22,26,105,35
58,88,106,79
58,88,106,80
59,89,107,81
60,90,108,82
60,90,108,83
6,61,109,12
61,91,110,84
58,92,111,79
58,92,111,80
33,93,112,47
33,93,112,48
33,93,112,49
25,94,113,1
62,95,114,85
62,95,114,86
62,95,114,87
62,95,114,88
12,49,115,17
26,31,116,36
26,31,116,37
28,34,117,41
42,96,118,1
49,97,119,1
38,50,120,52
28,34,121,41
46,66,122,59
46,66,122,60
43,63,123,56
12,49,124,17
3,98,125,6
3,98,125,7
3,98,125,8
63,99,126,89
63,99,126,90
64,100,127,1
33,41,128,47
33,41,128,48
33,41,128,49
32,39,129,45
32,39,129,46
31,53,130,1
65,101,131,1
66,102,132,91
66,102,132,92
66,102,132,93
17,103,133,25
46,73,134,59
46,73,134,60
18,104,135,26
51,79,136,67
51,79,136,68
51,79,136,69
51,79,136,70
51,79,136,71
65,105,137,1
38,106,138,52
36,47,139,1
54,85,140,1
3,3,141,6
3,3,141,7
3,3,141,8
54,107,142,1
12,108,143,17
18,51,144,26
26,109,145,36
26,109,145,37
34,42,146,50
52,81,147,1
35,110,148,51
24,28,149,1
54,85,150,1
34,111,151,50
18,51,152,26
28,112,153,41
28,112,154,41
28,34,155,41
67,113,156,94
67,113,156,95
67,113,156,96
39,75,157,53
26,31,158,36
26,31,158,37
6,114,159,12
19,115,160,27
57,116,161,76
57,116,161,77
57,116,161,78
54,107,162,1
50,117,163,65
50,117,163,66
38,50,164,52
12,49,165,17
37,48,166,1
68,118,167,97
69,119,168,1
50,120,169,65
50,120,169,66
7,7,170,13
6,46,171,12
18,51,172,26
10,19,173,1
68,121,174,97
54,85,175,1
70,122,176,98
47,123,177,61
50,78,178,65
50,78,178,66
55,84,179,75
17,67,180,25
19,21,181,27
39,124,182,53
17,18,183,25
71,125,184,99
71,125,184,100
71,125,184,101
71,125,184,102
71,125,184,103
71,125,184,104
18,40,185,26
49,77,186,1
